fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20220925 202319	1704	24	189	27	5	22006000	1
20220925 202936	743	10	463	16	5	22062000	2
20220925 204537	2014	28	131	9	5	22560000	3
20220925 211507	1050	15	394	41	5	20768000	4
20220925 212457	1820	8	75	12	5	21206000	5
20220925 212927	241	18	324	22	5	21970000	6
20220925 221623	1202	22	108	45	5	20366000	7
20220925 223247	2472	5	364	31	5	20122000	8
20220925 225132	1402	8	164	37	5	20988000	9
20220925 233938	2296	13	33	34	5	21504000	10
20220925 234019	552	2	230	6	5	13764000	11
20220925 234522	1495	26	294	2	5	21602000	12
20220926 000427	447	29	265	49	5	20938000	13
20220926 000532	947	1	494	17	5	10600000	14
20220926 001045	275	16	28	25	5	20756000	15
20220926 012032	2108	19	436	41	5	20864000	16
20220926 012721	2500	11	407	2	5	20338000	17
20220926 024853	2500	27	1	33	5	18962000	18
20220926 025558	1757	30	246	2	5	21850000	19
20220926 025630	100	12	500	2	5	20116000	20
20220926 030320	1734	28	488	2	5	21380000	21
20220926 031547	851	23	311	16	5	22504000	22
20220926 035044	2500	10	362	26	5	21438000	23
20220926 035215	101	29	128	12	5	21614000	24
20220926 042047	2233	21	187	14	5	22448000	25
20220926 044613	2275	24	167	12	5	22724000	26
20220926 052052	2112	22	500	20	5	22612000	27
20220926 054704	2079	18	495	16	5	22424000	28
20220926 061528	1945	24	336	17	5	22536000	29
20220926 063702	1304	20	500	20	5	22188000	30
20220926 070629	1958	23	187	17	5	22570000	31
20220926 072900	2500	23	315	10	5	23368000	32
20220926 074521	2500	22	454	7	5	23404000	33
20220926 075423	2500	22	305	2	5	21178000	34
20220926 081201	2234	23	500	9	5	22922000	35
20220926 083224	2404	14	363	11	5	22378000	36
20220926 085401	2500	22	415	9	5	23172000	37
20220926 091147	2366	24	293	7	5	23594000	38
20220926 093040	2499	23	240	7	5	23564000	39
20220926 095641	2417	12	10	16	5	22684000	40
20220926 095758	101	12	93	14	5	22256000	41
20220926 095921	170	23	332	7	5	23596000	42
20220926 100709	1159	23	314	7	5	23386000	43
20220926 100836	165	25	294	7	5	22702000	44
20220926 100931	100	20	371	7	5	22860000	45
20220926 102554	2500	23	346	7	5	23446000	46
20220926 102656	104	22	261	7	5	21952000	47
20220926 102757	115	23	448	7	5	22472000	48
20220926 104826	2484	28	234	9	5	22946000	49
20220926 111908	2464	13	158	18	5	22174000	50
20220926 112036	100	13	382	16	5	21302000	51
20220926 114059	2497	21	500	9	5	22868000	52
20220926 115920	2496	15	69	8	5	23044000	53
20220926 122054	2454	24	219	9	5	23520000	54
20220926 123457	1911	24	331	8	5	23312000	55
20220926 124400	1436	13	1	7	5	22896000	56
20220926 124449	102	24	246	5	5	23352000	57
20220926 130658	2500	18	176	10	5	23242000	58
20220926 133307	2499	19	28	12	5	21924000	59
20220926 134905	1973	16	235	9	5	23342000	60
20220926 135834	1444	18	371	7	5	23322000	61
20220926 141948	2499	17	337	10	5	22930000	62
20220926 143533	2499	19	440	7	5	23294000	63
20220926 151628	2499	19	229	20	5	22500000	64
20220926 152416	1179	17	171	7	5	23136000	65
20220926 153726	1502	15	173	10	5	22836000	66
20220926 155010	1947	16	446	7	5	22980000	67
20220926 165416	2499	23	439	29	5	21630000	68
20220926 170909	2500	16	180	6	5	24050000	69
20220926 171801	2500	16	178	2	5	20978000	70
20220926 173149	2298	12	172	7	5	22578000	71
20220926 181822	2493	30	239	21	5	21874000	72
20220926 183244	2499	24	1	5	5	22902000	73
20220926 190134	2498	30	500	14	5	22346000	74
20220926 200525	2454	11	1	50	5	20898000	75
20220926 201010	395	10	1	21	5	21554000	76
20220926 202546	2468	16	188	7	5	23172000	77
20220926 203627	2030	17	114	5	5	23028000	78
20220926 204143	895	16	317	6	5	22972000	79
20220926 205650	2500	24	189	6	5	23562000	80
20220926 205933	307	24	67	8	5	22318000	81
20220926 211132	2498	14	87	5	5	22938000	82
20220926 211515	399	18	313	10	5	23336000	83
20220926 212940	2500	16	1	6	5	23106000	84
20220926 214156	2500	16	377	5	5	22536000	85
20220926 222309	2114	27	495	23	5	22066000	86
20220926 230739	2415	23	297	23	5	22584000	87
20220926 231914	2131	18	229	6	5	23518000	88
20220926 232741	1160	18	453	9	5	23168000	89
20220926 233743	1920	16	164	6	5	23336000	90
20220926 234254	671	17	1	9	5	21048000	91
20220926 235925	2496	12	18	10	5	22512000	92
20220927 000146	423	24	341	5	5	22930000	93
20220927 001501	2500	17	168	6	5	23700000	94
20220927 002716	1522	19	281	10	5	23220000	95
20220927 004135	1337	17	243	14	5	22464000	96
20220927 004910	1222	12	496	9	5	22174000	97
20220927 011909	2498	28	237	15	5	22544000	98
20220927 013315	2500	20	180	6	5	23760000	99
20220927 013523	100	24	320	22	5	21418000	100
20220927 013736	351	18	240	6	5	22550000	101
20220927 022353	2468	18	488	25	5	21964000	102
20220927 022510	109	23	333	11	5	22586000	103
20220927 024215	2013	11	244	15	5	21712000	104
20220927 030440	2500	30	198	11	5	23062000	105
20220927 031903	2429	30	2	6	5	21588000	106
20220927 032333	802	11	46	8	5	22464000	107
20220927 032431	106	16	396	9	5	22464000	108
20220927 033741	1621	30	365	10	5	23164000	109
20220927 035125	1011	30	340	17	5	22388000	110
20220927 042718	1699	20	241	27	5	21776000	111
20220927 045929	2252	15	500	21	5	22144000	112
20220927 051712	1681	30	275	13	5	22898000	113
20220927 053803	1127	13	500	30	5	21578000	114
20220927 055305	2500	30	500	7	5	23206000	115
20220927 061309	2500	29	500	10	5	22986000	116
