Feature	Gain	Cover	Frequency
mpasivos_margen	0.157485126056836	0.0165601656844097	0.019153418885271
mpayroll	0.088482554410602	0.0335131247306872	0.00919364106493009
cpayroll_trx	0.0760000786429961	0.0118281740895924	0.00306454702164336
mcuentas_saldo	0.0708482890385651	0.0386897885699536	0.0352422907488987
campo8	0.0666951627078829	0.00221900222462806	0.00038306837770542
mcaja_ahorro	0.0384749341792825	0.02862683824208	0.0298793334610228
mautoservicio	0.0331004113661194	0.00920473180633742	0.0111089829534572
cprestamos_personales	0.0330180823528175	0.0104452752845257	0.00612909404328673
mprestamos_personales	0.0299948116955994	0.0337808557265371	0.00919364106493009
mtarjeta_visa_consumo	0.0242855399291097	0.020972540589862	0.0162804060524804
mrentabilidad_annual	0.0226043134085262	0.0375891757262189	0.0302624018387282
ctarjeta_debito_transacciones	0.0199755910265893	0.00439268449590229	0.00517142309902318
Visa_msaldototal	0.0195387641396612	0.0146328621315937	0.0260486496839686
Visa_msaldopesos	0.0193043265274515	0.0092898208020166	0.0134073932196897
mcomisiones_mantenimiento	0.0190150745175004	0.0247875284937117	0.0116835855200153
mactivos_margen	0.0164450560387527	0.0299458028117796	0.0381153035816893
mcuenta_corriente	0.0130255941011511	0.0210583174898527	0.0254740471174105
Visa_status	0.0126558178236359	0.0319092247464163	0.00708676498755028
Master_fechaalta	0.0120468245517992	0.015015854559756	0.0327523462938134
campo1	0.0112312892547211	0.000613215611700928	0.000574602566558131
mrentabilidad	0.0109964975110008	0.0184967729727654	0.026431718061674
cdescubierto_preacordado	0.0102857435681013	0.0282583258591281	0.00842750430951925
Visa_mpagospesos	0.00969196647755669	0.00877246908323047	0.0185788163187129
ctarjeta_master	0.0085274263903142	0.00194444667313333	0.00134073932196897
ctarjeta_visa_transacciones	0.00809581942103128	0.0122765855366852	0.0128327906531316
ctrx_quarter	0.00758156915518485	0.0150516255839541	0.015897337674775
Visa_fechaalta	0.00719799549568824	0.0152583442350275	0.0296877992721701
Master_Fvencimiento	0.00613983919945187	0.0123955725497737	0.0340930856157824
ccajas_consultas	0.00600998126319893	0.020945174257945	0.00708676498755028
cliente_edad	0.00595544130107781	0.0206597075905391	0.033710017238077
Visa_mpagominimo	0.00558391904548843	0.0128161000339825	0.0157058034859222
ccomisiones_otras	0.00547041539654656	0.00989792140245082	0.00900210687607738
mcomisiones	0.0053854961481813	0.00944264453411054	0.0137904615973951
mcuenta_debitos_automaticos	0.00520350723956156	0.0103609763571647	0.00689523079869757
ccaja_seguridad	0.00518931345467563	0.0250737988513033	0.00536295728787589
campo7	0.00510286180577813	0.00193130838187702	0.000957670944263551
Visa_Fvencimiento	0.0048223655863106	0.01328100075175	0.0247079103619996
cproductos	0.00472130439361234	0.0173639035466616	0.00995977782034093
Master_status	0.00427594689817913	0.0158326762257941	0.00402221796590691
mcomisiones_otras	0.0042456132721989	0.011843900535684	0.0166634744301858
chomebanking_transacciones	0.00383242127091064	0.0120850212132662	0.014556598352806
mtarjeta_master_consumo	0.00362643980980056	0.00284150113906738	0.0038306837770542
numero_de_cliente	0.0035557661616758	0.0132838477220689	0.0258571154951159
Visa_mconsumospesos	0.00341697932272606	0.0118000721768274	0.0178126795633021
mextraccion_autoservicio	0.00335454683846633	0.00536630747936018	0.00632062823213944
cliente_antiguedad	0.00321235143534724	0.00951934245937615	0.0222179659069144
Master_mfinanciacion_limite	0.0031719557650351	0.0113590710256843	0.0195364872629764
Visa_mfinanciacion_limite	0.0027158504171104	0.00974500912821778	0.0187703505075656
ccallcenter_transacciones	0.00259508072078331	0.015873957295418	0.00670369660984486
internet	0.00237833420025053	0.0054997064283214	0.0038306837770542
Visa_mconsumosdolares	0.00232119961495937	0.00693529461708883	0.00766136755410841
Visa_mconsumototal	0.00220719674211229	0.00905129509020353	0.0135989274085424
Visa_mlimitecompra	0.00216852836091608	0.00850135305329325	0.0195364872629764
thomebanking	0.00214873568685925	0.00640172606497906	0.00363914958820149
Master_mlimitecompra	0.00210895364002477	0.00856870637741648	0.0147481325416587
ccajas_transacciones	0.00197141249029584	0.00318272211037382	0.0019153418885271
Master_msaldopesos	0.00192775269695325	0.00533137420001667	0.00881057268722467
tcallcenter	0.00191522570157433	0.00826929772856857	0.00363914958820149
mtransferencias_emitidas	0.00190313263750535	0.0082277646543949	0.00842750430951925
cmobile_app_trx	0.00190264405222941	0.00870356286620603	0.0038306837770542
mtransferencias_recibidas	0.00164290449371223	0.00505891641612533	0.0101513120091936
Master_msaldototal	0.00147541153494483	0.00702883598158558	0.00900210687607738
Master_mpagospesos	0.00146166500315535	0.00638327524537649	0.00861903849837196
Visa_cconsumos	0.0014500163104967	0.00524117019307077	0.00823597012066654
tmobile_app	0.00142529369614871	0.0193707792387972	0.00402221796590691
mcaja_ahorro_dolares	0.00141111963093112	0.00286055813177612	0.0074698333652557
cextraccion_autoservicio	0.00140778376047144	0.00659974034268505	0.00651216242099215
ccomisiones_mantenimiento	0.00135271814211999	0.00619222174199085	0.00248994445508523
Master_mpagominimo	0.00132805599996616	0.00245440171783737	0.00440528634361234
matm	0.00131407155216353	0.00220684470783566	0.00268147864393794
ctarjeta_master_transacciones	0.00131294630983801	0.00148806643352114	0.0019153418885271
mpagomiscuentas	0.00130083583750531	0.00483499334633068	0.00632062823213944
ccaja_ahorro	0.00120201347873829	0.00605248181368301	0.00363914958820149
Master_mconsumospesos	0.00116813967525063	0.00399419719339672	0.00517142309902318
ctransferencias_recibidas	0.00109891576940481	0.00664382070609141	0.00766136755410841
mttarjeta_visa_debitos_automaticos	0.000932207337702286	0.00329389698241988	0.00593755985443402
catm_trx	0.00081953240835081	0.00137053696026091	0.0019153418885271
mplazo_fijo_dolares	0.000723264379854614	0.00534334782159707	0.00287301283279065
ccuenta_debitos_automaticos	0.000672992645800334	0.00129356659764421	0.00134073932196897
Master_madelantopesos	0.000602346623524351	0.000413791470703048	0.00038306837770542
Master_mconsumototal	0.000590300584125192	0.00197835831241026	0.00248994445508523
ctarjeta_visa_debitos_automaticos	0.000579299235554552	0.00442609893701348	0.00287301283279065
cpagomiscuentas	0.000567155887953587	0.0020207086986372	0.00287301283279065
ctarjeta_visa	0.000545321412789323	0.00264344599575872	0.00134073932196897
Visa_fultimo_cierre	0.00052545100576861	0.00326208311074634	0.00363914958820149
Master_fultimo_cierre	0.000519204938347926	0.0019610108640796	0.00306454702164336
Visa_msaldodolares	0.000491575321809089	0.00402391329746687	0.00287301283279065
Visa_mpagado	0.000427290876885986	0.00194636735645852	0.00248994445508523
ctarjeta_debito	0.000379099873681853	0.00168238918511986	0.00210687607737981
ctransferencias_emitidas	0.000369300553781984	0.00200028270823923	0.00268147864393794
cseguro_vida	0.000329396779782288	0.000798738636859441	0.000957670944263551
catm_trx_other	0.000298520106336077	0.00418810447803503	0.00306454702164336
active_quarter	0.000289507113863183	0.000368778009369202	0.00038306837770542
matm_other	0.000262939796223004	0.00307726842270066	0.00248994445508523
campo6	0.000245619221315597	0.000684669117958058	0.00019153418885271
Visa_mpagosdolares	0.000241818129327141	0.00160249012097894	0.0019153418885271
cplazo_fijo	0.000231746844688696	0.000441225911957811	0.000574602566558131
mtarjeta_visa_descuentos	0.000214657519382632	0.00166893077997601	0.00153227351082168
mttarjeta_master_debitos_automaticos	0.000193713005135194	0.00209447111144482	0.0019153418885271
Visa_madelantodolares	0.000143947261773784	0.000249048604498924	0.00019153418885271
campo3	0.000127019820612369	0.000127527924045229	0.00038306837770542
mcheques_depositados	0.0001185327469809	0.00161650702269252	0.000574602566558131
campo5	0.000117845696797931	0.000891006356739847	0.00038306837770542
Master_mpagado	0.000107263002351801	0.00101040202585504	0.000957670944263551
Visa_delinquency	0.000101906682351821	0.00144161586516029	0.000574602566558131
ccajas_extracciones	9.71583046112192e-05	7.8863802206778e-05	0.00038306837770542
Visa_Finiciomora	9.43974199254312e-05	0.000864368794737023	0.00038306837770542
campo4	7.58909954671343e-05	0.00121403532392726	0.000574602566558131
Master_cconsumos	6.59282106806568e-05	0.000357260720351872	0.000766136755410841
ctarjeta_master_debitos_automaticos	5.4884835041792e-05	4.68456025199256e-05	0.00019153418885271
mcaja_ahorro_adicional	5.13532568115514e-05	0.000477630352997212	0.00019153418885271
ccajas_otras	5.10627375990817e-05	0.000500746662237199	0.00038306837770542
ccajas_depositos	5.07751996449496e-05	0.000643919301168771	0.000766136755410841
Master_msaldodolares	4.13468603836303e-05	0.000281945414643042	0.00038306837770542
cseguro_vivienda	2.86992227952769e-05	0.000388645503197441	0.00038306837770542
mcajeros_propios_descuentos	2.73669541575736e-05	0.00105463904073828	0.000574602566558131
ctarjeta_visa_descuentos	2.45040834088883e-05	0.000480477323316103	0.00019153418885271
cinversion1	2.09089233095434e-05	0.000216948673606745	0.00019153418885271
mcheques_emitidos	1.58675781175852e-05	0.000411782245238759	0.00019153418885271
Master_delinquency	1.45507256817891e-05	0.000199669334613862	0.00019153418885271
ccheques_depositados	1.07499175349822e-05	0.000535782105587373	0.00019153418885271
Visa_madelantopesos	8.71440885551832e-06	0.000390382291310639	0.00019153418885271
