Feature	Gain	Cover	Frequency
ctrx_quarter	0.162115626544049	0.0255141491506567	0.0236714917619834
mcuentas_saldo	0.0513385794612026	0.0286333362409022	0.0262025575817474
mpayroll	0.0372984766137166	0.0268799402903769	0.00636382263254951
mpasivos_margen	0.0368842789669191	0.0131417239648365	0.0237317552338825
mrentabilidad_annual	0.035440893821688	0.0228627613708338	0.0381467777121576
mprestamos_personales	0.0274733669904147	0.0237680744306008	0.0081717267895238
cliente_edad	0.0257437010077223	0.0185535982574921	0.0394123106220396
cpayroll_trx	0.0251034755886652	0.0109146352974085	0.00265159276356229
mcaja_ahorro	0.0225494604737231	0.0119830244552888	0.0215984283286529
numero_de_cliente	0.0207266682810722	0.0178706314901672	0.0342175993443334
Master_Fvencimiento	0.0204812414982961	0.0168074721977678	0.0311321095830973
mactivos_margen	0.0190154593804228	0.0180193537918929	0.0232978582362087
mcuenta_corriente	0.0189181065780891	0.0174880996198183	0.0245031276741916
Master_fechaalta	0.0187516305057922	0.0153096993629603	0.0283840952644964
mrentabilidad	0.0186513297468298	0.0149845516806259	0.0233942797912473
Visa_Fvencimiento	0.0186276115412741	0.011446915294181	0.0294567850643011
Visa_fechaalta	0.0180728341660073	0.0131700101848603	0.0243102845641143
Visa_mpagominimo	0.016689726324152	0.0129333769344671	0.0211765840253589
cliente_antiguedad	0.0161989292900018	0.0137697369446826	0.0255637647796165
chomebanking_transacciones	0.0154593420127869	0.0115022313653587	0.0253106581976401
Master_mfinanciacion_limite	0.0154037449617779	0.0109769200020868	0.0245392857573311
mtarjeta_visa_consumo	0.015209834183555	0.0115032484719997	0.0102086321397148
mcomisiones_mantenimiento	0.0142265252366508	0.0134663873106752	0.0102809483059938
Visa_mfinanciacion_limite	0.0141067273830046	0.0118506833825218	0.0216345864117924
Visa_mconsumospesos	0.0132757087527823	0.0128730102023119	0.0202244211693524
Visa_mpagospesos	0.0122306822967532	0.00981910295363429	0.0200797888367945
Visa_cconsumos	0.0103050528658105	0.00649706992693788	0.0155720811387386
Visa_msaldopesos	0.0102031324250252	0.0101306417491116	0.0118719039641312
ccomisiones_otras	0.0101335773572665	0.0150555389434595	0.0156323446106377
mtransferencias_recibidas	0.01003122850252	0.00800485690313106	0.0165845074666442
mcomisiones	0.00979643039046024	0.00713868888762212	0.0133061745953308
ctarjeta_visa_transacciones	0.00950256472775471	0.007455497264173	0.0115223758271162
cproductos	0.00934808236519078	0.0119734791516309	0.0122214321011462
mcaja_ahorro_dolares	0.00903822457795638	0.00958653328644026	0.0151020260579252
Visa_status	0.0085080906807642	0.011738625353523	0.00312164784437561
cdescubierto_preacordado	0.00835669581676334	0.00620201891444832	0.00292880473429835
mttarjeta_visa_debitos_automaticos	0.00696560666512476	0.00622104946403866	0.0111366896069616
Visa_msaldototal	0.00695523181032192	0.00638616461879897	0.00948547047692512
cprestamos_personales	0.00693310716131543	0.0167131031062662	0.00571297713603876
mcomisiones_otras	0.0069113966010011	0.00469487707446746	0.0104617387216912
ctransferencias_recibidas	0.00685804142302141	0.0142689871297922	0.0115103231327363
mautoservicio	0.00684974414648627	0.00952273357720335	0.0107871614699466
mtransferencias_emitidas	0.00666076801385531	0.0132687654276673	0.0114862177439767
mcuenta_debitos_automaticos	0.00637344492552455	0.00905164949666666	0.00895515192421266
ctarjeta_debito_transacciones	0.0059392374455429	0.00924295175707826	0.00989526208583929
Master_status	0.0048771974523886	0.00607846758040583	0.00195253648953224
Master_mpagospesos	0.0045348638521886	0.0156325745384568	0.00794272559630706
cmobile_app_trx	0.00423903777017375	0.00301228821359931	0.00567681905289928
ccajas_consultas	0.00419186177963217	0.00801461725219307	0.00296496281743784
ctarjeta_debito	0.00418673617036339	0.00640891390400355	0.00684593040774265
Visa_mconsumosdolares	0.00415842439767259	0.00922289441411697	0.00736419626607528
ccallcenter_transacciones	0.00400602009019078	0.0163179019618619	0.00638792802130916
Master_mpagominimo	0.00392946037693911	0.0068890705757783	0.00606250527305379
ctransferencias_emitidas	0.00378549350098112	0.00567622224600767	0.00668924538080488
internet	0.00378395502875124	0.0078852742223346	0.00310959514999578
mpagomiscuentas	0.00369688867161963	0.00869323177176738	0.00715930046161819
Master_mlimitecompra	0.00352611170699707	0.00432982587692261	0.00565271366413962
Master_mconsumospesos	0.00337742719911911	0.00650012512155296	0.00548397594282202
Visa_mlimitecompra	0.00324505934294611	0.00371223969315663	0.00513444780580699
ccaja_seguridad	0.00321785232692317	0.00748622454013528	0.00167532451879618
thomebanking	0.00320538605435861	0.00199677310228514	0.00342296520387133
cextraccion_autoservicio	0.00302410622325492	0.00910132885970698	0.0047608142800323
ctarjeta_visa_debitos_automaticos	0.00296961071901251	0.00559196900655595	0.00497776277886922
cpagomiscuentas	0.00285898989102447	0.00505649432625756	0.0049295520013499
Master_fultimo_cierre	0.00284538767594399	0.00282874502384935	0.00444744422615676
Visa_fultimo_cierre	0.00281861720161553	0.0019466646171096	0.00406175800600224
mextraccion_autoservicio	0.00279697739672963	0.00438087494357286	0.0047608142800323
mtarjeta_master_consumo	0.00273858166166234	0.0089613972653788	0.00372428256336704
Master_msaldototal	0.00269976839239491	0.00760194512171477	0.00454386578119539
ctarjeta_master	0.00236098739058158	0.000203281839297058	0.000313370053875544
ccajas_transacciones	0.00230186824695155	0.000948944997321658	0.00108474249418457
ccomisiones_mantenimiento	0.00226737577727326	0.00561717194044791	0.00247080234786487
Master_msaldopesos	0.00226023333176349	0.00376058422481471	0.00359170292518893
matm	0.00221999745322791	0.00282602499008931	0.00407381070038207
ccuenta_debitos_automaticos	0.00208019483447976	0.0102364169650877	0.00384480950716533
Master_cconsumos	0.00203702040345106	0.00221437386574205	0.00269980354108161
tmobile_app	0.00202542607586522	0.00476222793889109	0.00177174607383481
Visa_mconsumototal	0.00179815940498445	0.00167250497502699	0.00250696043100435
matm_other	0.0017604802474746	0.00716450983488264	0.00348322867577047
ccaja_ahorro	0.00175429554896072	0.00603898737529265	0.00285648856801938
tcallcenter	0.00173483358539103	0.00236891886081948	0.00225385384902795
Visa_mpagado	0.00172560711073775	0.00797463624314331	0.00310959514999578
mplazo_fijo_dolares	0.00163624494113007	0.0096405687719232	0.00283238317925972
catm_trx	0.00162324540786884	0.00909748516527685	0.0031578059275151
catm_trx_other	0.00133487786884405	0.00460434974005002	0.00302522628933698
ctarjeta_master_transacciones	0.00123411937939023	0.00501909289338407	0.00233822270968675
