fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	ganancia	iteracion
20220928 220503	binary	custom	TRUE	TRUE	FALSE	-100	11	TRUE	388699	0.0832800124207861	0.730962860579602	3400	551	10879	9	355	29.586812472844	27.5090827757958	62	19690000	1
20220928 220510	binary	custom	TRUE	TRUE	FALSE	-100	4	TRUE	388699	0.203584398508508	0.806856267033145	4652	717	11272	12	579	33.6586185486522	13.8852809290984	67	16340000	2
20220928 220521	binary	custom	TRUE	TRUE	FALSE	-100	21	TRUE	388699	0.120822864623391	0.693862418797798	5088	684	9185	11	71	32.0661661538179	20.4320023898617	47	21550000	3
20220928 220532	binary	custom	TRUE	TRUE	FALSE	-100	8	TRUE	388699	0.184491101641383	0.441122647388838	7384	247	6753	8	547	19.6262111666147	16.7181305366103	72	17140000	4
20220928 220542	binary	custom	TRUE	TRUE	FALSE	-100	16	TRUE	388699	0.0644655535965867	0.704899523933418	4182	476	12734	16	478	21.1065106812748	44.3193807784701	24	18700000	5
20220928 220548	binary	custom	TRUE	TRUE	FALSE	-100	3	TRUE	388699	0.266910674819228	0.67397938192822	5582	295	8126	6	620	25.1778932838351	39.8717177778599	38	17990000	6
20220928 220556	binary	custom	TRUE	TRUE	FALSE	-100	6	TRUE	388699	0.0979126125112234	0.75540169490967	1321	328	7617	5	819	47.4772235925775	34.9994312445051	64	18050000	7
20220928 220615	binary	custom	TRUE	TRUE	FALSE	-100	16	TRUE	388699	0.0573322891984135	0.542151720141992	5768	506	13229	3	421	9.19437619420933	18.5034244362032	70	18910000	8
20220928 220622	binary	custom	TRUE	TRUE	FALSE	-100	6	TRUE	388699	0.135909384144732	0.656910121850669	2045	808	10112	8	716	8.62802560121054	26.8072469750768	83	18580000	9
20220928 220629	binary	custom	TRUE	TRUE	FALSE	-100	4	TRUE	388699	0.220630525536137	0.945825159195811	5371	191	11090	10	676	26.8489759322256	16.2468872172758	28	17100000	10
