Feature	Gain	Cover	Frequency
ctrx_quarter	0.291170334858563	0.0217747929629839	0.0175991594431311
mcuentas_saldo	0.0664132352978207	0.0389863467823885	0.0396637772524297
cpayroll_trx	0.0627194111324558	0.0208455613334132	0.00932492776464408
mpayroll	0.0613568219246322	0.0393921233540316	0.0198318886262149
mpasivos_margen	0.0537409345201169	0.0131321895733608	0.0207512477016023
mprestamos_personales	0.043028778884856	0.0289540591351894	0.0164171263462044
mtarjeta_visa_consumo	0.0363197834181783	0.0181485057626234	0.0231153138954557
mrentabilidad_annual	0.0337078466425401	0.0371193013812839	0.0463619648016811
mcuenta_corriente	0.0253636153040298	0.0273659347379341	0.0278434462831626
mcaja_ahorro	0.0235046411124003	0.0129900796443903	0.0206199106908327
mcomisiones_mantenimiento	0.0183568909301645	0.0158245662504273	0.0174678224323614
Visa_mpagominimo	0.0157834245376827	0.0190665169435502	0.0265300761754662
mrentabilidad	0.0142540813001338	0.0205613664962941	0.0273180982400841
cdescubierto_preacordado	0.0141282069055175	0.0231694174428691	0.00958760178618335
mactivos_margen	0.0141199714815542	0.0285943264363011	0.0294194904123982
ctarjeta_visa	0.0102892312091027	0.0105202242581807	0.00472813238770686
cprestamos_personales	0.0096022463617063	0.0165099115872016	0.00801155765694773
ctarjeta_master	0.00944388366713563	0.00358599811667716	0.00275807722616233
Visa_fechaalta	0.00908558070319354	0.0332425863332066	0.0246913580246914
ccajas_consultas	0.00885135049572829	0.0227372466840544	0.00735487260309955
Master_fechaalta	0.00866622411949262	0.0264478985361852	0.0295508274231679
ctarjeta_visa_transacciones	0.00852320701808698	0.0095623159864493	0.0141843971631206
cproductos	0.00823013021006408	0.0147281621684659	0.0103756238508012
cliente_edad	0.0075228764166962	0.0180867960751738	0.0273180982400841
Visa_cconsumos	0.00622601592366263	0.0114809682230778	0.0206199106908327
ccomisiones_otras	0.00598521245655193	0.0114102955211516	0.0168111373785133
Master_Fvencimiento	0.00574817752736435	0.0159814968463255	0.0239033359600736
Visa_mconsumospesos	0.00565610728465235	0.0130841968565774	0.0246913580246914
Master_status	0.00513508693753967	0.00932942217480696	0.00420278434462832
chomebanking_transacciones	0.00492589981600377	0.00876672334753956	0.0157604412923562
Visa_Fvencimiento	0.00484025464384148	0.0112252025999903	0.0181245074862096
ccaja_seguridad	0.00441175537599557	0.00894104063467128	0.0026267402153927
Visa_msaldopesos	0.0042244508485533	0.0144626161840482	0.0166798003677436
numero_de_cliente	0.00416894441396051	0.0093400310033562	0.0187811925400578
mcuenta_debitos_automaticos	0.00393549214581792	0.0131929901709426	0.00919359075387444
mautoservicio	0.00391088473947874	0.018527715781432	0.0181245074862096
Master_mfinanciacion_limite	0.00378212316525358	0.00923625019367506	0.016548463356974
cmobile_app_trx	0.00371531662737979	0.00871151629373169	0.00893091673233517
Visa_status	0.00360730559336667	0.0305342324712155	0.0114263199369582
mtarjeta_master_consumo	0.00359922921624113	0.0116085327141633	0.00551615445232467
thomebanking	0.00349130560568532	0.00704354489313179	0.00761754662463882
tcallcenter	0.00345502771615643	0.00661577223881523	0.00367743630154978
mcomisiones	0.00326202733200062	0.0114577739210374	0.0133963750985028
Visa_msaldototal	0.00316165790886962	0.0150961823196355	0.0131337010769635
