fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221029 184137	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	646	1	1	1	0.1	50	0.5	FALSE	388699	0.13344881591067	0.591053043375723	6303	343	0.00199548349504206	9151	9218000	1
20221029 184805	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	132	1	1	1	0.1	50	0.5	FALSE	388699	0.160092289419044	0.842025536531583	277	1311	7.96347407679683e-05	10782	5796000	2
20221029 185356	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	98	1	1	1	0.1	50	0.5	FALSE	388699	0.22667429674686	0.422217870352324	1279	1447	0.00295103423371148	8305	8110000	3
20221029 190707	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	524	1	1	1	0.1	50	0.5	FALSE	388699	0.0680660385826923	0.60045351353474	5235	1654	0.00761373437154745	8474	10252000	4
20221029 191210	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	151	1	1	1	0.1	50	0.5	FALSE	388699	0.111922809653115	0.309875513904262	5847	548	0.0248120851163425	8619	9322000	5
20221029 192811	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	458	1	1	1	0.1	50	0.5	FALSE	388699	0.0367043628785177	0.543804106290918	2643	1232	0.0130242636990928	8490	11100000	6
20221029 193510	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	277	1	1	1	0.1	50	0.5	FALSE	388699	0.281790537530542	0.770209450391121	4792	453	0.000961687595671761	6495	10050000	7
20221029 194126	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	301	1	1	1	0.1	50	0.5	FALSE	388699	0.195145149018717	0.87395863851998	7707	1763	0.00756001265415095	7901	9478000	8
20221029 194654	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	205	1	1	1	0.1	50	0.5	FALSE	388699	0.212769341743042	0.283993313496467	3193	1070	0.00262647796990586	8081	9038000	9
20221029 195500	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	288	1	1	1	0.1	50	0.5	FALSE	388699	0.095537243014769	0.978196238551755	3996	717	0.0111509546212432	7438	11524000	10
20221029 200357	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	232	1	1	1	0.1	50	0.5	FALSE	388699	0.141153071165681	0.462651518627536	929	2003	0.000104939088874747	9478	8004000	11
20221029 201030	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	229	1	1	1	0.1	50	0.5	FALSE	388699	0.0599105675314058	0.672416371991858	6756	985	0.0274865288774742	6870	11780000	12
20221029 201504	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	107	1	1	1	0.1	50	0.5	FALSE	388699	0.266290228490252	0.386655642394908	7485	786	0.0174443286355779	8487	9986000	13
20221029 201859	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	203	1	1	1	0.1	50	0.5	FALSE	388699	0.17321043554366	0.744715414207894	1935	112	0.0133498995679191	8470	7940000	14
20221029 202315	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	66	1	1	1	0.1	50	0.5	FALSE	388699	0.251158662173984	0.920557228219695	4295	1897	0.0269207702046595	7525	10230000	15
20221029 204551	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1450	1	1	1	0.1	50	0.5	FALSE	388699	0.0122758427889494	0.221405544993468	2354	251	0.0179308130929196	8310	10900000	16
20221029 205615	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	550	1	1	1	0.1	50	0.5	FALSE	388699	0.0550556218813496	0.961242177607499	6828	329	0.0137531064562862	8215	10290000	17
20221029 210526	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	385	1	1	1	0.1	50	0.5	FALSE	388699	0.0746393121574573	0.855866213157442	3699	887	0.00628066255858165	8964	9432000	18
20221029 211649	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	411	1	1	1	0.1	50	0.5	FALSE	388699	0.054522130474204	0.521580752180098	7318	1051	0.0242581552203205	6846	11908000	19
20221029 212646	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	381	1	1	1	0.1	50	0.5	FALSE	388699	0.0598617656185661	0.474390774933621	7989	815	0.0254964899093694	7297	11166000	20
20221029 213919	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	735	1	1	1	0.1	50	0.5	FALSE	388699	0.0503896236086817	0.636653214190481	6785	1188	0.011447106234378	8598	11124000	21
20221029 214804	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	221	1	1	1	0.1	50	0.5	FALSE	388699	0.0374227563243003	0.529420306035213	7158	428	0.0286164107903598	6741	12198000	22
20221029 220742	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	720	1	1	1	0.1	50	0.5	FALSE	388699	0.0166275023690956	0.521422132189048	7371	921	0.0294216198131242	6564	12232000	23
20221029 221939	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	647	1	1	1	0.1	50	0.5	FALSE	388699	0.0258546558585719	0.694254264436106	7999	394	0.027567936728747	6319	12322000	24
20221029 231103	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3014	1	1	1	0.1	50	0.5	FALSE	388699	0.00510963881824882	0.692151658312441	6290	544	0.0291325701886233	5859	12682000	25
20221030 000821	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3931	1	1	1	0.1	50	0.5	FALSE	388699	0.00513081286175668	0.716981505165738	6920	935	0.0256209617728986	6471	11858000	26
20221030 002210	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1373	1	1	1	0.1	50	0.5	FALSE	388699	0.00784967717077718	0.679929377005075	5697	21	0.0303410305701272	6717	12166000	27
20221030 011300	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3734	1	1	1	0.1	50	0.5	FALSE	388699	0.00895505642847978	0.677325141014777	6389	665	0.0168965174665083	6453	12054000	28
20221030 012417	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	583	1	1	1	0.1	50	0.5	FALSE	388699	0.0306217330407073	0.697921812058997	5586	425	0.0271765524008964	6508	12024000	29
20221030 023739	528	1278615	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5382	1	1	1	0.1	50	0.5	FALSE	388699	0.00501323969745703	0.508559265693301	5510	31	0.0268800542199767	7233	11454000	30
