fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221017 231442	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	30	TRUE	388699	0.209949820152891	0.495685887020081	4468	676	7835	25050000	1
20221017 231505	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	99	TRUE	388699	0.166782262591762	0.733053995491937	4892	446	10186	26430000	2
20221017 231604	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	341	TRUE	388699	0.0543410666704294	0.332627581302077	3337	166	12151	25940000	3
20221017 231616	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	25	TRUE	388699	0.196628275225288	0.765292470678687	3794	534	10509	25550000	4
20221017 231636	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	96	TRUE	388699	0.242149229219998	0.25760901699774	6801	471	12622	25320000	5
20221017 231741	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	345	TRUE	388699	0.0460948482507374	0.556013226285577	3071	310	11367	26150000	6
20221017 231800	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	30	TRUE	388699	0.116265285248926	0.928780946647748	1152	662	8747	25950000	7
20221017 231812	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	27	TRUE	388699	0.17270109360374	0.62925030826591	5204	803	6860	25320000	8
20221017 231841	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	101	TRUE	388699	0.126998246423434	0.404075693031773	6585	745	14928	23830000	9
20221017 231910	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	66	TRUE	388699	0.215955515489797	0.99949680509977	465	222	11938	24050000	10
20221017 231931	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	142	TRUE	388699	0.151527280803071	0.702655460387468	7249	168	5501	2.5e+07	11
20221017 231949	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	71	TRUE	388699	0.272256191695167	0.807185151018202	1818	1019	6436	24890000	12
20221017 232009	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	57	TRUE	388699	0.0708023214770365	0.857727630948648	2754	20	8325	26390000	13
20221017 232033	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	118	TRUE	388699	0.107610276694293	0.280190903553739	5961	112	13606	24230000	14
20221017 232052	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	82	TRUE	388699	0.230431811770366	0.661553804706782	2086	968	13139	24130000	15
20221017 232355	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	542	TRUE	388699	0.00769870370265562	0.463761767214164	1454	827	5466	24830000	16
20221017 232441	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	270	TRUE	388699	0.0930573708133306	0.210880017522723	7935	881	9278	26970000	17
20221017 232453	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	27	TRUE	388699	0.295174827996117	0.576827390855178	4084	334	7190	24100000	18
20221017 232526	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	64	TRUE	388699	0.26224245623115	0.367376546086744	143	398	14492	21180000	19
