fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221018 132200	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	68	TRUE	388699	0.209949820152891	0.495685887020081	4468	676	7835	26570000	1
20221018 132215	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	37	TRUE	388699	0.166782262591762	0.733053995491937	4892	446	10186	25310000	2
20221018 132305	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	86	TRUE	388699	0.0543410666704294	0.332627581302077	3337	166	12151	25620000	3
20221018 132321	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	38	TRUE	388699	0.196628275225288	0.765292470678687	3794	534	10509	25630000	4
20221018 132343	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	81	TRUE	388699	0.242149229219998	0.25760901699774	6801	471	12622	24600000	5
20221018 132438	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	147	TRUE	388699	0.0460948482507374	0.556013226285577	3071	310	11367	26470000	6
20221018 132512	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	24	TRUE	388699	0.116265285248926	0.928780946647748	1152	662	8747	26430000	7
20221018 132534	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	54	TRUE	388699	0.17270109360374	0.62925030826591	5204	803	6860	27320000	8
20221018 132605	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	97	TRUE	388699	0.126998246423434	0.404075693031773	6585	745	14928	22950000	9
20221018 132646	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	97	TRUE	388699	0.215955515489797	0.99949680509977	465	222	11938	24290000	10
20221018 132706	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	71	TRUE	388699	0.151527280803071	0.702655460387468	7249	168	5501	2.5e+07	11
20221018 132734	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	24	TRUE	388699	0.272256191695167	0.807185151018202	1818	1019	6436	24410000	12
20221018 132757	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	69	TRUE	388699	0.0708023214770365	0.857727630948648	2754	20	8325	26950000	13
20221018 132843	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	141	TRUE	388699	0.107610276694293	0.280190903553739	5961	112	13606	25270000	14
20221018 132858	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	20	TRUE	388699	0.230431811770366	0.661553804706782	2086	968	13139	24210000	15
20221018 133349	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	779	TRUE	388699	0.00769870370265562	0.463761767214164	1454	827	5466	25470000	16
20221018 133420	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	122	TRUE	388699	0.0930573708133306	0.210880017522723	7935	881	9278	26330000	17
20221018 133435	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	17	TRUE	388699	0.295174827996117	0.576827390855178	4084	334	7190	24900000	18
20221018 133512	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	59	TRUE	388699	0.26224245623115	0.367376546086744	143	398	14492	19820000	19
20221018 133559	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	202	TRUE	388699	0.0322818678830517	0.894003292554989	6320	580	9991	26900000	20
20221018 133705	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	322	TRUE	388699	0.0409597318544344	0.711569023488261	5310	840	7600	27280000	21
20221018 134247	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1331	TRUE	388699	0.00512738036735124	0.998349386397346	3228	617	9127	26550000	22
20221018 134311	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	73	TRUE	388699	0.0968146298859845	0.621796809569165	4396	808	7070	25780000	23
20221018 134349	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	131	TRUE	388699	0.0416338414588634	0.894868834909241	4809	316	8373	26700000	24
20221018 134405	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	25	TRUE	388699	0.189350411735361	0.651252053413839	5466	1024	6470	25540000	25
20221018 134443	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	62	TRUE	388699	0.171831751006843	0.27247357545714	1510	773	5007	23510000	26
20221018 134507	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	60	TRUE	388699	0.161805754019337	0.473876709325587	5117	599	7647	26230000	27
20221018 134525	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	48	TRUE	388699	0.198886000966938	0.776853736579837	7033	749	7218	26050000	28
20221018 134603	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	124	TRUE	388699	0.0557614295333486	0.733981066845135	2716	814	9168	26710000	29
20221018 134713	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	215	TRUE	388699	0.0295295826265856	0.556236789140096	7691	794	8672	26500000	30
20221018 134739	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	82	TRUE	388699	0.170054147775712	0.823974765412403	4769	812	7504	25880000	31
20221018 134758	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	43	TRUE	388699	0.178220473719629	0.612141625241167	3524	646	7567	26230000	32
20221018 134819	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	60	TRUE	388699	0.170640525433506	0.586785602137644	7957	940	6326	25430000	33
20221018 135349	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1733	TRUE	388699	0.00554276193813331	0.71892367492338	7961	750	7311	26420000	34
20221018 135410	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	79	TRUE	388699	0.178959338462741	0.668079327343113	7115	789	5329	25030000	35
20221018 135436	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	70	TRUE	388699	0.0619167102205261	0.882032784157068	5197	759	5538	24530000	36
20221018 135512	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	157	TRUE	388699	0.173599929041289	0.326916985421362	5277	344	6915	26490000	37
20221018 135625	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	260	TRUE	388699	0.0244393312357983	0.702385943144581	2832	694	7851	26780000	38
20221018 135718	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	197	TRUE	388699	0.0401479398118219	0.816209093650521	3110	52	10056	26370000	39
20221018 135804	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	170	TRUE	388699	0.0348465911679012	0.692506072301725	5906	1023	7931	27100000	40
20221018 135854	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	107	TRUE	388699	0.0428658709960079	0.496083216725766	5890	822	10346	26510000	41
20221018 140004	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	236	TRUE	388699	0.035473612023042	0.56558216123071	5882	416	7611	26940000	42
20221018 140037	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	138	TRUE	388699	0.0683568409706058	0.802096721291214	6404	674	9300	26760000	43
20221018 140255	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	368	TRUE	388699	0.0610628481032871	0.97343582736723	629	238	8619	26930000	44
20221018 140357	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	250	TRUE	388699	0.0244436245679832	0.931947628606763	5703	831	7579	26610000	45
20221018 140434	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	145	TRUE	388699	0.0518417771898949	0.690671109436313	6944	783	7701	26680000	46
20221018 140707	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	510	TRUE	388699	0.0246260522113279	0.52979670604218	5179	1016	7454	26780000	47
20221018 140723	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	26	TRUE	388699	0.171192291156142	0.604086152083059	5487	518	6946	25710000	48
20221018 140803	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	139	TRUE	388699	0.0408659997874903	0.653909997761598	5329	729	8585	26670000	49
20221018 140846	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	103	TRUE	388699	0.0466547752140623	0.99899394865461	1597	196	8583	27080000	50
20221018 140912	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	47	TRUE	388699	0.198647677067647	0.586370022302812	5586	821	8314	25860000	51
20221018 141020	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	190	TRUE	388699	0.0346303461395334	0.297876461891334	5841	16	7390	26580000	52
20221018 141056	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	81	TRUE	388699	0.0527935562880029	0.755134712437929	1138	56	9248	26630000	53
20221018 141157	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	200	TRUE	388699	0.0410934047698878	0.993256678140927	2247	268	8336	26770000	54
20221018 141235	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	119	TRUE	388699	0.0915903215498052	0.999635325221406	1536	699	11099	26610000	55
20221018 141255	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	46	TRUE	388699	0.180197555571019	0.340937652335841	4954	787	7102	25720000	56
20221018 141414	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	280	TRUE	388699	0.0361008698757144	0.476877019590558	4607	101	8285	26310000	57
20221018 141431	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	36	TRUE	388699	0.158396005907193	0.654019489701616	4369	836	7065	26110000	58
20221018 141808	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1030	TRUE	388699	0.00632384599780433	0.752748581514055	6131	156	8324	26720000	59
20221018 142308	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	838	TRUE	388699	0.00533542887155131	0.9811417638243	1696	600	9570	27180000	60
20221018 142335	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	55	TRUE	388699	0.252631314970413	0.583381074295856	5225	892	7002	26320000	61
20221018 142417	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	56	TRUE	388699	0.0688474472658397	0.979549392334215	1807	115	9714	26820000	62
20221018 142642	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	358	TRUE	388699	0.0109318915897574	0.711063247758528	1490	889	9002	26800000	63
20221018 142747	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	254	TRUE	388699	0.0357373581007903	0.286165106088868	6273	895	7690	26780000	64
20221018 143311	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	614	TRUE	388699	0.00511558631820297	0.894697751553552	874	442	7838	26570000	65
20221018 143332	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	37	TRUE	388699	0.139874518986195	0.834226068240269	3001	600	8423	26120000	66
20221018 143435	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	267	TRUE	388699	0.0336836904384904	0.943106126361536	5228	153	7798	26650000	67
20221018 144148	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2026	TRUE	388699	0.00500575904345564	0.728479152389464	2585	46	8713	26820000	68
20221018 144740	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1216	TRUE	388699	0.00501261168183901	0.968800988728823	1819	149	8248	27270000	69
20221018 145328	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1209	TRUE	388699	0.00541238139657769	0.95322525578301	1846	595	8724	27200000	70
20221018 145913	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1205	TRUE	388699	0.00516471099328295	0.946082272290323	1717	364	7700	26680000	71
20221018 150535	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1208	TRUE	388699	0.00511758017682522	0.368856656309414	1795	69	8735	27170000	72
20221018 151101	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	675	TRUE	388699	0.00510330680742885	0.536431089314952	1704	499	10683	2.6e+07	73
20221018 151501	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1038	TRUE	388699	0.00549715940196068	0.623428206090151	6862	494	9735	26290000	74
20221018 151525	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	92	TRUE	388699	0.128249065745139	0.748304120946758	5251	959	7147	25950000	75
20221018 151654	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	363	TRUE	388699	0.0287559967300915	0.342288487942256	5932	381	8094	26780000	76
20221018 152156	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	919	TRUE	388699	0.00503328457314433	0.967319025790184	26	96	9355	26970000	77
20221018 152425	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	591	TRUE	388699	0.00995012573066121	0.95815467202698	4696	918	10429	26430000	78
20221018 152453	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	55	TRUE	388699	0.0702357899525604	0.36553326656934	2857	16	7449	26150000	79
20221018 153114	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	710	TRUE	388699	0.00511438716109354	0.321019536932844	486	249	8910	27220000	80
20221018 153620	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1200	TRUE	388699	0.00532741763345613	0.296743054330194	6920	495	9317	26570000	81
20221018 153730	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	197	TRUE	388699	0.039658492748715	0.528394800446986	6837	285	7765	26550000	82
20221018 153943	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	472	TRUE	388699	0.0190441965478218	0.919793018863941	1492	708	9421	27080000	83
20221018 154657	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	775	TRUE	388699	0.00526558494808548	0.328824895595734	846	924	8621	27400000	84
20221018 155544	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1959	TRUE	388699	0.00529575990461139	0.321621844830437	1294	671	7630	27220000	85
20221018 160047	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	479	TRUE	388699	0.00517213868570768	0.357002080359067	818	685	8902	27240000	86
20221018 160208	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	128	TRUE	388699	0.0338113259720325	0.316104699099476	509	832	8739	26930000	87
20221018 160823	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	262	TRUE	388699	0.00512579824539165	0.346270954373844	261	1014	7950	27060000	88
20221018 161438	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1453	TRUE	388699	0.00512238568010483	0.326002537497808	4270	951	8500	26520000	89
20221018 161510	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	90	TRUE	388699	0.184091323023665	0.27932309605935	4490	973	6804	24720000	90
20221018 162220	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1049	TRUE	388699	0.00503793770863571	0.277854073933632	575	820	8440	27200000	91
20221018 162657	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	398	TRUE	388699	0.00560984092559807	0.33711823188252	676	436	8486	27350000	92
20221018 163052	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1150	TRUE	388699	0.00629041808281882	0.857078978628712	7151	95	8750	26660000	93
20221018 163223	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	409	TRUE	388699	0.0238408770764512	0.240043858271336	7521	524	7638	26410000	94
20221018 163313	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	161	TRUE	388699	0.0350722083478475	0.772737518132895	3147	1005	8113	26340000	95
20221018 163330	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	30	TRUE	388699	0.229741208390667	0.628206679453922	6663	781	7113	25220000	96
20221018 163417	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	202	TRUE	388699	0.0394082984739134	0.714181828735994	6395	1011	8678	26410000	97
20221018 164210	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1096	TRUE	388699	0.00524033548852991	0.29205960681993	1129	127	8321	27600000	98
20221018 164452	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	416	TRUE	388699	0.00903248639899021	0.28660530881631	930	43	8001	27120000	99
20221018 165125	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1377	TRUE	388699	0.00512552906272799	0.231947305024766	1255	499	8517	27210000	100
20221018 170329	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1315	TRUE	388699	0.00539052362632599	0.622984059929138	333	581	8603	27360000	101
20221018 170844	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1364	TRUE	388699	0.00521424026516296	0.834758229846391	4158	440	8188	26750000	102
20221018 171256	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	462	TRUE	388699	0.00520902587374867	0.91647742803757	1317	74	8711	26740000	103
20221018 171749	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	668	TRUE	388699	0.0148407292148053	0.991054157999716	468	928	9558	27450000	104
20221018 172459	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	723	TRUE	388699	0.0116721942026451	0.999920885716436	299	1015	8628	27230000	105
20221018 172704	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	172	TRUE	388699	0.0589314870943183	0.95523153958754	244	965	9680	26320000	106
20221018 172732	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	123	TRUE	388699	0.0891509036961552	0.99941718051893	7319	384	9450	26220000	107
20221018 173358	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	589	TRUE	388699	0.00544315874019465	0.999552459865288	491	212	9323	27040000	108
20221018 174012	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	532	TRUE	388699	0.00569837674428999	0.827141528061893	626	1023	9275	27050000	109
20221018 174302	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	387	TRUE	388699	0.0119191523118422	0.402633856570505	1130	149	8349	27470000	110
20221018 174418	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	125	TRUE	388699	0.0263092936612294	0.99970017279399	946	952	10133	26380000	111
20221018 180604	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1813	TRUE	388699	0.00500776381485775	0.643888889634866	15	958	9655	26930000	112
20221018 180624	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	31	TRUE	388699	0.202782031988062	0.693583610980147	5133	360	6864	25640000	113
20221018 180729	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	57	TRUE	388699	0.0785803269288396	0.743061914939014	167	484	10488	25910000	114
20221018 180827	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	66	TRUE	388699	0.0402112105585532	0.575192777059046	787	922	7117	26490000	115
20221018 180855	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	70	TRUE	388699	0.0545454943197292	0.879952475063301	5938	454	11380	25880000	116
20221018 181035	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	682	TRUE	388699	0.033697451106898	0.681137806735025	7660	857	7004	26800000	117
20221018 181353	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	703	TRUE	388699	0.009060929021158	0.629613140573772	2471	1020	7636	26730000	118
