fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221018 132522	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	41	TRUE	388699	0.209949820152891	0.495685887020081	4468	676	7835	26650000	1
20221018 132542	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	64	TRUE	388699	0.166782262591762	0.733053995491937	4892	446	10186	25870000	2
20221018 132652	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	282	TRUE	388699	0.0543410666704294	0.332627581302077	3337	166	12151	25380000	3
20221018 132709	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	45	TRUE	388699	0.196628275225288	0.765292470678687	3794	534	10509	26430000	4
20221018 132745	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	29	TRUE	388699	0.242149229219998	0.25760901699774	6801	471	12622	24280000	5
20221018 132901	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	129	TRUE	388699	0.0460948482507374	0.556013226285577	3071	310	11367	25990000	6
20221018 132956	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	124	TRUE	388699	0.116265285248926	0.928780946647748	1152	662	8747	26990000	7
20221018 133012	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	29	TRUE	388699	0.17270109360374	0.62925030826591	5204	803	6860	25880000	8
20221018 133049	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	124	TRUE	388699	0.126998246423434	0.404075693031773	6585	745	14928	22790000	9
20221018 133116	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	34	TRUE	388699	0.215955515489797	0.99949680509977	465	222	11938	23970000	10
20221018 133139	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	81	TRUE	388699	0.151527280803071	0.702655460387468	7249	168	5501	25160000	11
20221018 133156	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	29	TRUE	388699	0.272256191695167	0.807185151018202	1818	1019	6436	25130000	12
20221018 133220	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	67	TRUE	388699	0.0708023214770365	0.857727630948648	2754	20	8325	26550000	13
