fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221029 184053	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	43	1	1	1	0.1	50	0.5	FALSE	388699	0.11510378594452	0.548192922631279	4217	448	0.0225235231738179	7959	15522000	1
20221029 184223	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	58	1	1	1	0.1	50	0.5	FALSE	388699	0.230408262922429	0.72239183918573	3962	639	0.0237061219175634	6345	16030000	2
20221029 184425	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	75	1	1	1	0.1	50	0.5	FALSE	388699	0.151868130258517	0.575052261597011	5942	1179	0.0265974656957735	7023	16914000	3
20221029 185123	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	631	1	1	1	0.1	50	0.5	FALSE	388699	0.0151617182152404	0.390334265562706	2185	1718	0.0245471001544345	6761	17038000	4
20221029 185233	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	47	1	1	1	0.1	50	0.5	FALSE	388699	0.203808358202223	0.970615083049051	5085	184	0.0197391886949166	8085	15430000	5
20221029 185427	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	57	1	1	1	0.1	50	0.5	FALSE	388699	0.1330094826821	0.642472311970778	2953	719	0.023549920517401	7178	15804000	6
20221029 185539	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	59	1	1	1	0.1	50	0.5	FALSE	388699	0.176133868516408	0.880844552046619	7667	1826	0.0285962657737911	6252	17256000	7
20221029 185745	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	115	1	1	1	0.1	50	0.5	FALSE	388699	0.0773522297622549	0.26286099308636	585	1011	0.0118148507303773	7628	15624000	8
20221029 190035	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	284	1	1	1	0.1	50	0.5	FALSE	388699	0.169674683433623	0.658751817676239	1336	1592	3.618432948321e-05	7631	15218000	9
20221029 190149	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	51	1	1	1	0.1	50	0.5	FALSE	388699	0.252078615517676	0.798710875294637	3430	1316	0.028716015862063	5869	14982000	10
20221029 190444	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	406	1	1	1	0.1	50	0.5	FALSE	388699	0.0385800078216562	0.213731712347362	6945	1149	0.0268989775697823	6830	17540000	11
20221029 190620	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	205	1	1	1	0.1	50	0.5	FALSE	388699	0.0461407182075345	0.918223916692659	1585	52	0.0193725953779946	8021	16038000	12
20221029 190747	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	88	1	1	1	0.1	50	0.5	FALSE	388699	0.266404430371986	0.318061909743119	7161	1973	0.0248930374726853	7234	15372000	13
20221029 190906	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	32	1	1	1	0.1	50	0.5	FALSE	388699	0.219761090152606	0.43549962277757	6469	285	0.0219709993391868	7943	15634000	14
20221029 191049	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	48	1	1	1	0.1	50	0.5	FALSE	388699	0.282860145792802	0.483272822364233	436	874	0.00152453217289711	8769	12382000	15
20221029 191247	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	164	1	1	1	0.1	50	0.5	FALSE	388699	0.0856103087936208	0.8259919002885	4672	1486	0.025178332063299	6683	16474000	16
20221029 191656	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	300	1	1	1	0.1	50	0.5	FALSE	388699	0.0255172472317096	0.52111438520354	7999	2028	0.0217770103257574	7776	16208000	17
20221029 192729	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1812	1	1	1	0.1	50	0.5	FALSE	388699	0.00500305590007429	0.20016249213371	5168	1544	0.0269245861712196	6922	17276000	18
20221029 193142	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	696	1	1	1	0.1	50	0.5	FALSE	388699	0.017441294320763	0.200190359929225	6057	673	0.0262039170509691	6827	17226000	19
20221029 193255	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	79	1	1	1	0.1	50	0.5	FALSE	388699	0.171612589920363	0.717822040999949	7999	1262	0.0230145289486729	7020	16520000	20
20221029 193405	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	55	1	1	1	0.1	50	0.5	FALSE	388699	0.146829927848417	0.986608167372409	6798	2047	0.023424970468079	7316	16728000	21
20221029 193626	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	200	1	1	1	0.1	50	0.5	FALSE	388699	0.0328912989433232	0.201736420047756	5087	1186	0.0252870164384459	7664	16832000	22
20221029 194937	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2332	1	1	1	0.1	50	0.5	FALSE	388699	0.00872887897210172	0.284846082745724	7998	975	0.0274553769420766	6392	17536000	23
20221029 195125	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	194	1	1	1	0.1	50	0.5	FALSE	388699	0.0537610365163672	0.20009409953084	7817	919	0.0280989453034202	6947	17306000	24
20221029 200339	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2433	1	1	1	0.1	50	0.5	FALSE	388699	0.00522173514020277	0.200018295647257	7928	1398	0.0254811501120834	7054	17252000	25
20221029 200724	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	460	1	1	1	0.1	50	0.5	FALSE	388699	0.0184682986403807	0.652084660109878	7087	1059	0.0279172814708655	6501	17718000	26
20221029 202022	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2093	1	1	1	0.1	50	0.5	FALSE	388699	0.00503425497333982	0.999005851464247	7177	784	0.0281980039399458	6341	17958000	27
20221029 203056	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1715	1	1	1	0.1	50	0.5	FALSE	388699	0.00506592618164827	0.991956770549082	7997	654	0.0251002756319944	6903	17554000	28
20221029 204120	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1497	1	1	1	0.1	50	0.5	FALSE	388699	0.00523080755308819	0.999890481518213	6767	886	0.0214015783559883	8161	16558000	29
20221029 205419	528	452013	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2091	1	1	1	0.1	50	0.5	FALSE	388699	0.00503604007364362	0.280181597248942	7383	352	0.0233313379149873	7630	16740000	30
